단어,빈도수
모아,22
금호,22
자제,22
거듭,22
로그인,22
출항,22
패권,22
코스닥,22
담당,22
풍력발전,22
조억원,22
영역,22
일자,22
이노,22
주전,22
해외진출,22
전용,21
아침,21
현주소,21
전액,21
태양,21
PG,21
조영철,21
증가,21
윤,21
광양,21
까닭,21
제작,21
점화,21
다퉈,21
수력,21
봄바람,21
크라,21
간담,21
Q,21
세운,21
SR,21
마,21
지사,21
동반,21
뚫는,21
IT,21
출발,21
下,21
낙점,21
쓴다,21
앤디,21
희망,21
서울,21
운송,21
⑤,21
소로,21
방한,21
⑪,21
플레이어,21
률,21
완료,21
텔레콤,21
불안,21
니콜라,20
내실,20
삼보,20
채비,20
바꾸는,20
정열,20
민선,20
온다,20
상용차,20
PF,20
스라이,20
커진,20
기름,20
아람,20
t,20
지구,20
조선업,20
반수소,20
천억,20
체력,20
터미널,20
박가우,20
돌린,20
찾아서,20
정상화,20
폴라리스,20
배당,20
기지,20
권혁웅,20
대회,20
일상생활,20
시민단체,20
분산,20
퍼스트,20
예고,20
양자,20
과의,20
진화,20
한계,20
시상식,20
철도,20
기준,20
가스터빈,20
체인지,20
상의,20
답,20
터빈,20
스팩,20
베팅,20
CFE,20
한숨,20
턴,20
벤처캐피털,20
투자자,20
되면,20
같은,20
호재,20
경남,20
볼,20
가능성,20
겨울,19
잡음,19
광폭,19
잡은,19
긴,19
흑석,19
부생,19
꽂히다,19
지정,19
유증,19
세운다,19
본드,19
충남도,19
커진다,19
수장,19
신임,19
김철호,19
방,19
모멘텀,19
외교,19
리튬,19
고압,19
연장,19
효자,19
고속,19
남궁,19
쿠웨이트,19
RE,19
센,19
줄줄이,19
중간,19
통큰,19
붙는,19
환원,19
흐름,19
내달,19
마무리,19
락,19
⑧,19
찾기,19
못,19
업고,19
개월,19
잘,19
이후,19
벗고,18
이어지는,18
낸,18
받는,18
써밋,18
⑯,18
↓,18
포함,18
주행,18
정주영,18
증설,18
시급,18
완주,18
본부장,18
트로이카,18
이사회,18
이솔,18
루스,18
병용,18
무버,18
수처리,18
획득,18
證,18
의미,18
줍,18
개편,18
보,18
이끌,18
주기,18
흑자,18
불꽃,18
시간,18
출하,18
넘,18
