index,title,url,press,date,keyword,content,filtered,Blacklist,Scraped_date
4,'주택사업' 효자 사라진 건설업계… 돌파구는 신사업,http://moneys.mt.co.kr/news/mwView.php?no=2023032411182561618,머니S언론사 선정,2023.03.26.,GS칼텍스 CCUS 신사업 해외,이에 따라 건설업체들은 주택사업 비중을 낮추는 대신 미래 성장 동력 확보를 위해 해외사업 확대와 친환경 신사업에 공을 들이며 몰두하는... 같은 날 GS건설은 허창수 회장을 사내이사로 재선임하고 허 회장의 동생인 허진수 전 대표이사 회장은 비상무이사로 재선임한다. 삼성물산 건설부문은...,success,Not in Blacklist,2023-12-27
5,"GS건설 신사업 조직 대폭 강화, 오너4세 허윤홍 경영 보폭 넓힌다",https://www.businesspost.co.kr/BP?command=article_view&num=300847,비즈니스포스트,2022.12.15.,GS칼텍스 CCUS 신사업 해외,"GS건설 신사업부문은 현재 크게 자회사 GS이니마를 통한 수처리사업, 모듈러사업, 해외부동산개발사업 등으로 구성돼 있다. 신사업부문 매출의... LG칼텍스정유(현 GS칼텍스)에 사원으로 입사한 뒤 2005년 GS건설로 자리를 옮겼다. 2018년 건설 부문추진실장을 맡았고 2020년 부문...",success,Not in Blacklist,2023-12-27
6,"린데코리아, 탄소중립 실현 CCUS 사업 본격 추진",http://amenews.kr/news/view.php?idx=51157,신소재경제신문,2022.11.15.,GS칼텍스 CCUS 신사업 해외,"신사업으로 각광 받고 있는 CCUS(탄소 포집·활용·저장) 사업을 국내 대표기업들과 손잡고 본격 추진한다. 린데코리아(회장 성백석)는 14일 GS칼텍스... 이번 협약을 통해 린데코리아는 탄소 포집 및 액화 사업에 GS건설과 공동 참여하며, 이산화탄소(CO2) 저장 및 지하매립(Storage & Sequestration) 관련...",success,Not in Blacklist,2023-12-27
7,"린데코리아, 국내 기업들과 CCUS사업 위한 컨소시엄 협약",http://www.gasnews.com/news/articleView.html?idxno=107671,가스신문,2022.11.15.,GS칼텍스 CCUS 신사업 해외,"해당 협약을 통해 린데코리아는 탄소 포집 및 액화 사업에 GS건설과 공동 참여하고, 해외 이산화탄소(CO2) 저장 및 지하매립(Storage & Sequestration) 관련 업무는 GS에너지와 함께 맡을 예정이다. GS칼텍스는 여수공장에서 발생하는 이산화탄소를 포집·활용·저장까지 아우르는 전체 사업 영역 개발에...",fail,Not in Blacklist,2023-12-27
8,건설업체가 연어를 공급? … ‘허윤홍 GS건설’의 신사업 광폭행보 화제,https://weekly.cnbnews.com/news/article.html?no=143149,CNB저널(문화경제),2022.04.19.,GS칼텍스 CCUS 신사업 해외,"GS건설은 “해외 모듈러 시장을 선점하고, 각 회사의 강점과 기술 그리고 네트워크를 활용해 국내외 모듈러 시장을 적극 공략해 글로벌 강자로 도약하겠다”고 의지를 드러냈다. GS건설, 수처리 기술 내세워 친환경 연어 대중화 사업 도전 건설이 발굴한 중에는 M&A 및 협약, 투자를 통한...",success,Not in Blacklist,2023-12-27
9,12월 1주차 국내 ESG 핫클립,http://www.impacton.net/news/articleView.html?idxno=10444,임팩트온,2주 전,GS칼텍스 CCUS 신사업 해외,"친환경 사업 '대못' 빠진다… '옥수수 항공유·폐플라스틱 기름' 장사 준비 국내 정유·화학업계의 저탄소 신사업에 속도가 붙었다. 28일 국회에 따르면... GS칼텍스는 포스코인터내셔널과 인도네시아에 바이오 원료 정제 시설을 짓는다. 에쓰오일은 정부의 바이오연료 실증연구에 참여, 울산 공장 원유...",fail,Blacklist,2023-12-27
0,"[산업 이모저모]부산엑스포 응원 'LG 엑스포 버스', 런던 시내 달린다",http://www.greened.kr/news/articleView.html?idxno=307820,녹색경제신문,2023.10.26.,LG화학 CCUS 신사업 해외,LG화학에서 개발한 친환경 가소제는 기존 제품 생산대비 탄소 발생량이 대폭 감소하는 제품으로 올 12월부터 본격 생산할 계획이다. ㅇ..LG전자가 글로벌 스타트업 및 투자자들과 함께 더 나은 미래를 만들 수 있는 신사업 영역의 혁신 방안을 논의하는 장을 펼쳤다. 전자 북미이노베이션센터(...,fail,Not in Blacklist,2023-12-27
1,[더벨][LG화학을 움직이는 사람들]'탈탄소' 전환 첨병 허성우 석유화학 글로벌사업추진총괄,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202308231553142480107392,더벨,2023.08.25.,LG화학 CCUS 신사업 해외,"LG화학 관계자는 ""허 부사장은 해외 포럼이나 행사에서 우연히 만난 알 감디 페트로라빅(아람코-스마토모석유화학 합작사) CEO와 그 자리에서 사업 협력을 논의할 정도로 글로벌 네트워크가 풍부하다""며 ""신사업 개발 관련 뛰어난 식견을 보유하고 있다는 평가도 받고 있다""고 말했다.",success,Not in Blacklist,2023-12-27
2,"[더벨][한일 종합상사 포트폴리오 분석]LX인터, 일본과 같은 듯 다른 '신사업 전략'",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202307171530407040107670,더벨,2023.07.20.,LG화학 CCUS 신사업 해외,"해외에서 생산된 수소를 일본으로 들여오는 것이 핵심이다. 이외에도 탄소포집, 활용, 저장 기술을 의미하는 CCUS 투자에도 적극적이다. 일례로 미쓰비시상사는 이산화탄소에서 콘크리트 원료인 골재를 성형하는 기술을 보유한 회사와 협력해 사업화를 준비하고 있다. LX인터내셔널의 친환경 은...",success,Not in Blacklist,2023-12-27
3,"[zoom 人] 주목받고 있는 ""LG화학 ESG 글로벌 경영""",http://www.newsfreezone.co.kr/news/articleView.html?idxno=456174,뉴스프리존,2023.03.30.,LG화학 CCUS 신사업 해외,"ⓒ 홈페이지 갈무리 이와 함께 LG화학은 ESG 해외 인재 확보에도 활발한 행보를 보이고 있다. 신학철 LG화학 부회장이 독일에서 환경·사회·지배구조... 이날 행사에는 영국 옥스퍼드 대학, 스위스 취리히 연방공과대학, 독일 훔볼트대학 등 주요 20여개 대학에서 ESG 관련 분야의 기술을 보유한...",fail,Not in Blacklist,2023-12-27
4,"최태원·정의선·조현준, 베트남서 노다지 캘 신사업 채굴한다",http://www.insightkorea.co.kr/news/articleView.html?idxno=121834,인사이트코리아,2023.11.01.,LG화학 CCUS 신사업 해외,"최근 조 회장은 2019년 이후 4년 만에 해외 의료봉사단 '미소원정대'를 파견하면서 ""베트남은 효성의 글로벌 최대 생산법인이 있는 곳으로 효성 역시... LG는 1995년 LG전자가 베트남에 첫 진출한 이후 현재 베트남 내 LG디스플레이‧이노텍‧ 생산법인 7곳을 포함해 총 12곳의 법인을 운영 중이다. 지난해...",success,Not in Blacklist,2023-12-27
