index,title,url,press,date,keyword,content,filtered,isBlacklist,Scraped_date
40,[Who Is ?] 최정우 포스코홀딩스 대표이사 회장,https://www.businesspost.co.kr/BP?command=article_view&num=321049,비즈니스포스트,2023.07.13.,SK 이노베이션  암모니아 신사업 해외,"수소·암모니아 도입을 목표로 사우디아라비아, 칠레 등 해외에서 블루·그린 수소 생산 프로젝트 공동개발·투자를 추진하는 방안을 검토하기로 했다. 최정우는 일찍부터 수소 사업에서 다른 기업들과 협력해 왔다. 최정우는 2021년 6월 정의선 현대자동차그룹 회장, 최태원 그룹 회장, 조현준 효성그룹...",fail,Blacklist,2023-12-26
41,7월 2주 국내 ESG 이슈 핫클립,http://www.impacton.net/news/articleView.html?idxno=6847,임팩트온,2023.07.13.,SK 이노베이션  암모니아 신사업 해외,"해외기업 중에서는 미국 다우케미칼, 일본 미쯔이 등이 POE 시장에 진출했다. 국내에서는 LG화학, SK지오센트릭, 한화토탈에너지스가 POE를 적극 육성... LG 구광모호 오픈 이노베이션, 글로벌 스타트업에 4000억원 투자 LG가 구광모 대표 취임 이후, 글로벌 스타트업 혁신 생태계 확대를 통해 미래 성장 동력...",fail,Blacklist,2023-12-26
42,<차이나리포트> SK 중국경영. 20년. 고속질주 시동,http://www.ajnews.co.kr/common/redirect.jsp?newsId=20120703000067,아주경제,2012.07.03.,SK 이노베이션  암모니아 신사업 해외,SK차이나는 현재 100개에 달하는 법인에 1만3000명에 달하는 임직원이 근무하고 있다. 포트폴리오 다변화 SK는 기존 SK이노베이션(前 SK에너지) 사업부의... 중국대륙 공략할 신사업들 SK차이나는 중국의 환경을 반영한 영역으로 ▲도시개발 ▲문화창의 ▲환경 등 분야를 설정하고 이를 추진중이다....,fail,Blacklist,2023-12-26
43,"석유화학업계, 성장 위한 '자금 확보' 움직임 본격화",https://daily.hankooki.com/news/articleView.html?idxno=971812,데일리한국,2023.06.27.,SK 이노베이션  암모니아 신사업 해외,"수소·암모니아 등 신사업 개발 그리고 관련 R&D(연구개발) 역량 확보에 박차를 가하고 건실한 재무구조를 확보하고자 유상증자를 결정했다""고 설명했다. SK이노베이션은 2021년 발표한 카본 투 그린 전략에서 2020년 기준 30% 수준이던 그린 자산 비중을 2025년 70%까지 높이고 사업 구조를 그린 중심으로...",fail,Not in Blacklist,2023-12-26
44,"정유업계, 중장기 성장 키워드 '바이오·수소'",https://daily.hankooki.com/news/articleView.html?idxno=973442,데일리한국,2023.06.30.,SK 이노베이션  암모니아 신사업 해외,저탄소 신사업을 본격화하는 '그린 트랜스포메이션'에 집중하고 있다. 지난해 7월 GS칼텍스는 LG화학과 업무협약을 체결하고 친환경 바이오 원료... 미국의 암모니아 기반 수소 연료전지 시스템 기업 아모지에는 지금까지 총 8000만달러를 투자했다. 은 전략적 투자자로서 아모지와 협업 관계를...,fail,Not in Blacklist,2023-12-26
45,"[주간투자동향] 팀블랙버드, 85억 원 규모의 시리즈A 투자 유치",https://it.donga.com/104021/,IT동아,2023.07.03.,SK 이노베이션  암모니아 신사업 해외,"SBA, DL이앤씨와 함께 오픈이노베이션 참가기업 모집 서울경제진흥원(SBA)이 운영하는 서울창업허브 성수·창동 센터가 DL이앤씨와 함께 오픈이노베이션... 수소·암모니아 생산 및 활용, SMR(Small Modular Reactor) 및 연계 기술, 연료전환 기술을, 모델 분야는 건설사업과 연계 가능한 /신기술을...",success,Blacklist,2023-12-26
46,잠잠하던 수소 생태계 재점화…업종불문 기초작업 시작,http://www.mediapen.com/news/view/832251,미디어펜,2023.06.30.,SK 이노베이션  암모니아 신사업 해외,하지만 정유사들을 중심으로 다양한 기업들이 탄소배출 감축과 신사업 구축을 위해 수소 사업을 추진하면서 다시 탄력을 얻는 모양새다. 에쓰오일은... SK이노베이션은 암모니아 기반의 수소 연료전지 시스템 전문 기업인 미국 아모지에 현재까지 총 8000만 달러를 투자하며 수소 기술 확보에 열을 올리고 있다....,success,Not in Blacklist,2023-12-26
47,7월 1주 국내 ESG 이슈 핫클립,http://www.impacton.net/news/articleView.html?idxno=6813,임팩트온,2023.07.06.,SK 이노베이션  암모니아 신사업 해외,"DL이앤씨는 서울경제진흥원에서 운영하는 서울창업허브 성수·창동과 함께 오픈 이노베이션 프로그램을 진행한다고 밝혔다. 이번 프로그램에서는 건설 현장에 적용 가능한 신기술과 디지털 트랜스포메이션 기술, 친환경 탈탄소 사업, 모델 제안 등 4가지 분야로 나눠 참여 회사를 모집한다....",fail,Blacklist,2023-12-26
48,인류 최후의 석유기업…아람코는 왜 중국과 손잡았을까 [딥다이브 중동],http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202304270356&t=NN,한국경제TV언론사 선정,2023.04.29.,SK 이노베이션  암모니아 신사업 해외,현재의 SK이노베이션) 등 영향력을 실감할 수 있습니다. 석유를 뽑아올리기만 하던 이들 기업은 안정적 장기 공급계약과 함께 원유 찌꺼기를 정제해... 블루 암모니아 신사업 등 등 다운스트림(하류)으로 나뉘는데 자국과 거점을 통해 상류와 하류 플랫폼을 모두 통째로 움직일 수 있다고도 할 수 있죠....,fail,Not in Blacklist,2023-12-26
49,"[기업對기업] LG·SK·롯데 '화학 삼총사', 승자는",https://www.paxnetnews.com/articles/76428,딜사이트,2021.07.21.,SK 이노베이션  암모니아 신사업 해외,뒤 해외 수출을 적극 확대할 계획이다. 2025까지 SK종합화학이 도시유전 사업을 위해 투자하는 금액은 총 6000억원이다. SK이노베이션은 도시유전... (NCC)와 SK가스와의 합작법인(JV)을 통해 부생수소를 손쉽게 얻을 수 있을 것으로 전망된다. 아울러 롯데정밀화학의 (NH3→분해하면 질소와 수소 생성)...,fail,Not in Blacklist,2023-12-26
0,"SK·롯데·HD, 美 기업과 수소·암모니아 협력 강화",https://www.electimes.com/news/articleView.html?idxno=319090,전기신문,2023.04.26.,암모니아 합작법인 해외,"플러그파워는 국내에 4900억원을 투자하고, SK E&S와의 합작법인 SK 플러그 하이버스를 통해 국내에 연료전지 및 수전해 설비 생산시설인 기가팩토리(Giga-factory)를 구축할 예정이다. 롯데케미칼 수소에너지사업단장인 황진구 대표는 미국의 세계 최대 생산기업인 CF인더스트리스의 크리스 본...",fail,Not in Blacklist,2023-12-26
1,수소 소부장산업 육성…2030년 핵심기술 국산화율 80% 달성,https://www.korea.kr/news/policyNewsView.do?newsId=148923877&call_from=naver_news,대한민국 정책브리핑,7일 전,암모니아 합작법인 해외,"특히 해외 원천기술 보유 기업의 국내투자(합작법인 설립 등) 및 국내외 기업 간 국제 공동 R&D 등 전략적 협력 지원을 확대한다. 수소생산 기술별 맞춤형... 이에 고성능·장수명 LOHC 촉매 연구개발을 지원하고, 해외 청정수소도입 사업과 연계한 합성·분해 기술개발 사업을 추진한다. 한편 내년부터...",fail,Not in Blacklist,2023-12-26
2,"롯데케미칼·에어리퀴드코리아, 수소 합작법인 '롯데에어리퀴드 에너하이' 설립",https://www.viva100.com/main/view.php?key=20221206010001539,브릿지경제,2022.12.06.,암모니아 합작법인 해외,"국내 수요 증가에 대비해 다양한 투자와 파트너십 구축으로 해외에서 청정 수소·암모니아의 도입을 추진하고 대규모 소비처, 대량 공급망, 친환경 기술 등의 핵심역량을 기반으로 탄소저감 성장과 수소 중심의 그린순환 생태계 조성에 기여한다는 방침이다.한편, 사의 지분율은 롯데케미칼이 40...",success,Not in Blacklist,2023-12-26
3,"롯데케미칼-에어리퀴드코리아, 수소사업 합작법인 설립",https://view.asiae.co.kr/article/2022120609273463350,아시아경제,2022.12.06.,암모니아 합작법인 해외,"롯데케미칼과 에어리퀴드코리아는 6일 국내 모빌리티 수소 공급망 확대를 위한 전략적 제휴의 일환으로 합작사의 설립을 완료했다고 6일 밝혔다.... 국내 수요 증가에 대비해 다양한 투자와 파트너십 구축으로 해외에서도 청정 수소·의 도입을 추진하고 대규모 소비처, 대량 공급망, 친환경 기술...",success,Not in Blacklist,2023-12-26
4,"SK가스, LPG에 LNG·발전, 수소·암모니아사업 확장 중",http://www.todayenergy.kr/news/articleView.html?idxno=252496,투데이에너지,2022.09.21.,암모니아 합작법인 해외,국내에서의 안정적인 LPG공급뿐만 아니라 해외 LPG 트레이더로 자리매김하며 LPG시장 선두주자의 위상을 공고히 해 온 것이 사실이다. LPG사업을... JV(합작법인) 설립 계약을 체결했다. 이에 앞서 올해 1월에는 ADNOC(아부다비석유공사)와 '수소· 공동연구협약'을 체결하는 등 국내외 다양한...,fail,Not in Blacklist,2023-12-26
5,"SKE&S 남동발전과 수소 암모니아사업 맞손, 해외로 협력 확대하기로",https://www.businesspost.co.kr/BP?command=article_view&num=290316,비즈니스포스트,2022.08.18.,암모니아 합작법인 해외,"설립한 합작법인이다. 이번 협력을 통해 남동발전은 생산된 수소와 암모니아의 도입 및 혼소 활용, SKE&S는 SK플러그하이버스를 통해 그린수소 생산을... SKE&S와 남동발전은 이번에 추진하는 국내 사업뿐 아니라 해외에서도 그린수소· 관련 프로젝트에서 협력을 이어간다는 계획을 세웠다. 이지영 SKE...",fail,Not in Blacklist,2023-12-26
6,"SK E&S, 남동발전과 그린 수소·암모니아 사업 맞손",http://www.epj.co.kr/news/articleView.html?idxno=30980,일렉트릭파워,2022.08.19.,암모니아 합작법인 해외,"SK E&S는 8월 18일 한국남동발전, SK 플러그하이버스와 탄소중립을 비롯해 국내외 그린 수소·암모니아 생산·도입에 협력하는 양해각서를 체결했다. SK 플러그하이버스는 SK E&S와 美 수소기업 플러그파워가 아시아지역 공동사업 추진을 위해 올해 1월 설립한 (JV)이다. 이번 MOU는 글로벌 수소 선도기업...",fail,Not in Blacklist,2023-12-26
