단어,빈도수
가이던스,1
밑도,1
연간,51
하향,1
통해,77
기준,20
마련,91
우리나라,16
왔나,34
취재,18
⑤,21
지자체,25
가교,10
–,22
테크노,10
파크,11
탐방,52
지역별,10
장점,10
바탕,18
꾸준한,10
관심,52
필요,34
보릿고개,13
정형,8
마중,11
물,50
앞서,10
개척,38
총력,43
④,35
리드,7
탁월한,6
더욱,12
해야,68
년차,11
징크스,12
극,64
복기,10
⑥,26
김정일,7
뉴투,8
호,36
號,57
가지,38
마술지팡이,2
늘린다,12
지난해,8
계획,104
프로젝트,91
이월,1
원인,1
나아질,1
체력,20
TF,4
우주,44
시작,74
된,57
차원,2
다른,15
꿈,23
전지,298
이만,5
득,5
삼천리,5
명예,17
H,125
MEET,46
동시,7
트,12
라,70
젠,69
공개,24
중,122
완료,21
TV,25
함께,48
주식,59
유일,10
팹리스,7
업체,89
상진,1
급속,2
면,37
전력,86
망,6
부하,1
대안,28
中,40
채권,10
단,29
관리,34
졸업,4
앞둔,37
나선다,87
전주시,5
완주군,5
공유,56
선박,79
주도할,4
내달,19
국제,88
심포지엄,7
개최,131
문제,7
아닌,6
방향성,10
강조,42
화로,28
中企,3
볼모,2
몸값,10
높이기,2
걸음,122
모빌리티,208
풀,5
베팅,20
법,101
상용,42
급부,1
똘똘,2
웃었다,13
원년,17
각광,1
신년사,73
CI,1
수혜,53
화투,2
종목,94
폭삭,1
주저,1
앉은,1
매수,26
풍년,1
대한민국,81
용,31
선사,2
양해각서,5
체결,143
PE,2
엿보기수소,2
IPO,164
정의,9
선정,71
기선,11
범현대,9
넘버스,10
퍼스트,20
무버,18
준,14
교훈,1
신호탄,13
쏘아,1
올린,13
구조조정,12
모범,3
사례,7
무인,3
빅딜,7
살,66
바꿨다이,1
남자,1
정,187
공법,13
재건,13
시동,102
소주,33
요,46
모두,75
눈독,51
파일,1
회말,1
아웃,1
극복,37
증시,78
셀트리온,6
헬,11
스케,11
어,34
직판,2
순,34
롭,2
게,14
진행,35
마무리,19
걸었다,6
EV,22
중장비,3
접은,1
순이익,10
SR,21
유사,79
존재,25
감,66
제전,2
망라,5
신재생에너지,89
코스피,38
풍,5
약,18
바통,1
제일제당,7
잇는다,1
독보,4
위치,1
차지,8
로드맵,85
대전,36
기체,9
액체,7
고체,34
러브콜,38
잇,2
달,27
아,32
봄볕,1
전쟁,34
마냥,1
웃지만은,1
총수,119
출동,27
드림팀,30
떴다,14
심장,10
미리,15
보는,23
뉴딜,117
어메이징,1
끝내고,1
턴,20
라운드,39
이동,2
달렸다,11
고전,14
키워,56
볼,20
일만,1
남았다,2
팔건,1
박자,8
입어,4
돌파,55
Interview,11
선보,32
공업,26
최영,11
엔젤,11
밖,16
나오니,11
답,20
보였죠,11
부품,68
만들던,10
벤처캐피털,20
만든,17
기후,48
복위,17
대형,106
포집,27
대세,38
김지용,11
연구원,29
인력,42
재배,5
치신,5
실행,22
검증,7
싣고,5
헐,1
실시간,1
연동,1
금제,7
이중,3
가능한,12
만드는,7
연구소,10
硏,7
한일,10
공동,67
오는,7
대계,17
자금,48
조달,42
청,47
신호,46
ENTECH,12
접목,47
테이프,8
대현,4
에스티,4
센싱,4
누설,4
감지,4
센서,5
RD,47
채용,30
현지,32
설명,5
회,117
눈,59
돌린,20
일감,17
유리,12
벨,5
류,4
차전지,57
장비,16
김동관,156
잰,90
경북,43
공,110
정열,20
협의,80
체,72
공기업,225
불황,122
장기,52
빨간,9
조준,99
동서,51
컨소시엄,14
오만,39
독점,16
획득,18
칠레,9
넓혀,8
﻿,8
한양,18
재원,10
김형일,8
방안,84
선방,35
살렸다,8
복합,87
넘는다,28
정면,13
나주,10
밸리,11
MG,4
조성,63
환경,95
공단,16
제대,8
돈,47
이사장,9
취임,81
산삼,9
공통,14
연어,14
양식,13
늘리는,13
포럼,108
예측,6
착륙,1
해답,6
와의,1
공존,2
김,70
동,108
용의,48
톺아,52
수소차,169
공략,85
부장,28
포함,18
나선,104
초대형,15
쇼핑몰,2
단지,47
전화위복,7
토목,10
줄,23
이고,12
갈아타는,14
홀딩스,91
콘,4
트롤,4
타워,7
포항,40
본원,4
개소,4
에이치,5
이루자,2
SOFC,29
챕,6
터,23
수처리,18
현주소,21
살펴봤더니,17
요즘,7
관심사,3
이을,3
캐시,7
카우,3
찾아,40
동분서주,13
인터,50
회사,48
공공기관,24
주기,18
덩치,7
커졌지만,2
아쉬움,2
돌파구,39
토끼,29
잡기,13
재도전하나,4
방향,26
다잡는다,2
광물,11
지탱,2
UAE,28
승승장구,2
재무,86
부동산,59
조짐,8
포석,12
새해,24
다시,62
뛰는,29
자산,25
조로,12
높여,7
검토,27
역성,13
딜레마,12
된다면,13
건설업,306
권혁웅,20
중책,14
맡아,13
먹구름,6
철강업,53
소로,21
싣는,11
두고,7
각,52
축전,24
헝거게임,4
맞춰,10
방식,8
소음,4
저,134
감신,5
경기,69
침체,47
론,29
전신,6
광업,6
책임지는,10
광해,3
전주,12
완주,18
개정,6
움직임,5
UAM,32
윤영준,10
빅픽처,6
