,cnt,description,link,org_link,pDate,title
194,195,"이번 프리IPO에는 상장주간사 미래에셋증권을 포함해 <b>스마일게이트인베스트먼트</b>, S&amp;S<b>인베스트먼트</b>, 서울신기술투자, 키움<b>인베스트먼트</b> 등이 신규투자자로 참여했다. 닷밀은 KDB산업은행과의 30억원 규모 투자 검토가 진행... ",http://www.sisajournal-e.com/news/articleView.html?idxno=303673,http://www.sisajournal-e.com/news/articleView.html?idxno=303673,2023-09-25 15:46:00,[#스타트업-인터뷰] '한국 디즈니'를 꿈꾸는 닷밀의 실감미디어
195,196,"현재 대형 분야에서는 스톤브릿지벤처스, 파트너스<b>인베스트먼트</b>, <b>스마일게이트인베스트먼트</b>가 맞붙은 것으로 알려졌다. 중형에는 TS<b>인베스트먼트</b>, 신한벤처투자, 인터베스트가 격돌한다. 소형 리그에는... ",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202309210013002190107580,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202309210013002190107580,2023-09-25 08:22:00,"[더벨]노란우산공제, VC펀드 숏리스트 PT 심사 돌입"
196,197,"필로소피아벤처스, <b>스마일게이트인베스트먼트</b>가 참여했다. 큐마켓은 중대형 오프라인 마트와 반경 3km내 소비자들을 이어주고, 도심에 위치한 식자재마트를 배송 거점으로 활용해 주문 후 내 집 앞까지 3시간 이내... ",https://www.econovill.com/news/articleView.html?idxno=625628,https://www.econovill.com/news/articleView.html?idxno=625628,2023-09-24 17:04:00,&quot;매출 및 영업이익 극대화가 정답&quot; [스타트업 혹한기]
197,198,"특히 전주시와 <b>스마일게이트인베스트먼트</b>가 보육한 기업들이 IR을 통해서 투자 성과를 내며 빛을 발했다. 또한‘전북투자자의 밤’은 투자한마당의 대표적 네트워킹 프로그램으로서 금년에도 70여명의 기업, 투자사... ",http://www.kukinews.com/newsView/kuk202309220145,http://www.kukinews.com/newsView/kuk202309220145,2023-09-22 15:50:00,"[인터뷰]강영재 전북창조경제혁신센터장, ‘성공창업으로 지역경제 부흥’"
198,199,"6월에는 <b>스마일게이트인베스트먼트</b>로부터 15억원을 추가 투자 유치하며 69억원 규모 시리즈 A 투자를 마무리했다. 이로써 누적 투자금 115억원을 확보했으며, 최근 중기부 주관 아기유니콘 기업으로 선정됐다. 본지는 지난... ",http://www.asiaa.co.kr/news/articleView.html?idxno=140941,http://www.asiaa.co.kr/news/articleView.html?idxno=140941,2023-09-22 13:02:00,[A 인터뷰] 홍승현 브리즘 매니저 &quot;데이터·실력 기반 세계적 안경사 목표&quot;
199,200,"비링커는 이번 신용보증기금 프로그램 선정 외에도, ▲연세대학교 예비창업패키지 선정 ▲ 연세대학교 캠퍼스타운 선정 ▲<b>스마일게이트인베스트먼트</b> 오렌지플래닛 7기 선정 ▲한국산업인력공단 스마트-K팩토리 공유... ",http://www.issuenbiz.com/news/articleView.html?idxno=30382,http://www.issuenbiz.com/news/articleView.html?idxno=30382,2023-09-22 08:12:00,"비링커, 제조 플랫폼 최초 ISO 9001, ISO 14001 취득⋯품질 관리 및 조달 프로..."
200,201,1조2000억원의 자산을 굴리며 지난해 국내 상위 10대 VC로 꼽혔던 <b>스마일게이트인베스트먼트</b> 역시 이르면 연말 결성을 목표로 2200억~3000억원 규모의 대형 펀드 조성을 진행하고 있다. <b>스마일게이트인베스트먼트</b>... ,https://www.chosun.com/economy/tech_it/2023/09/22/3TASJQ2FYND4JMTJMT3KTHXQPA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://www.chosun.com/economy/tech_it/2023/09/22/3TASJQ2FYND4JMTJMT3KTHXQPA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,2023-09-22 03:03:00,"수천억 펀드 속속 조성, 스타트업 투자 훈풍"
201,202,"투자에는 대교<b>인베스트먼트</b>, SL<b>인베스트먼트</b>, <b>스마일게이트인베스트먼트</b>, 지앤텍벤처투자, 타임웍스<b>인베스트먼트</b>, 유안타<b>인베스트먼트</b>, 퀀텀벤처스코리아 등 7곳이 참여했다. CXL은 중앙처리장치(CPU)와 메모리... ",https://www.mk.co.kr/article/10835581,https://www.mk.co.kr/article/10835581,2023-09-21 22:56:00,ARM 덕 볼 기업 한국엔…저평가 반도체 회사에 돈 몰려
202,203,"대교<b>인베스트먼트</b>와 SL<b>인베스트먼트</b>, <b>스마일게이트 인베스트먼트</b> 등 총 7개의 투자사가 참여했다. 파네시아는 한국과학기술원(KAIST)출신 석·박사 인력들이 정명수 교수와 함께 설립한 교원창업 기업이다. 차세대... ",https://www.sedaily.com/NewsView/29URP84BAG,https://www.sedaily.com/NewsView/29URP84BAG,2023-09-21 07:01:00,[VC 투자 ABC] 파네시아·피트인 등 투자 유치
203,204,"포스코기술투자 외에 효성벤처스, <b>스마일게이트인베스트먼트</b>, 라구나<b>인베스트먼트</b> 등이 포함돼 있다. 외부에서 부르는 이름은 CVC얼라이언스다. 다만 자체적으로는 'CVC클럽43'이라는 명칭으로 협력체를 칭하고 있다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202309181614058760107140,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202309181614058760107140,2023-09-20 10:52:00,"[더벨]CVC얼라이언스, 정부 기업형 VC 규제 완화 '반색'"
204,205,"&quot;두나무앤파트너스, 빅베이슨캐피탈, <b>스마일게이트 인베스트먼트</b> 등에서 투자를 했어요.&quot; 향후 목표는 해외 시장 확대다. 미국에서는 올해 초부터 서비스를 시작했다. &quot;미국 스탠퍼드대, 버클리대, 샌프란시스코대... ",https://www.hankookilbo.com/News/Read/A2023091810380005890?did=NA,https://www.hankookilbo.com/News/Read/A2023091810380005890?did=NA,2023-09-20 05:01:00,[스타트업 리포트] &quot;에듀테크 아닌 그로스테크죠&quot; 이색 AI 교육 서비스 만든 ...
205,206,"한편, 2018년 설립된 누비랩은 뛰어난 기술력과 사업성을 인정 받아 <b>스마일게이트인베스트먼트</b>와 네이버 D2SF 등으로부터 투자를 유치했다. 현재까지 학교, 유치원, 병원, 기업 등 국내외 100여 곳의 고객사를 대상을 AI 잔반... ",http://news.mt.co.kr/mtview.php?no=2023091909410468537,http://news.mt.co.kr/mtview.php?no=2023091909410468537,2023-09-19 12:00:00,"'우리아이 영양관리' 누비랩 냠냠키즈, 전국 서비스로 확대"
206,207,"한편 누비랩은 2018년 창업한 AI 기업으로, 네이버 D2SF, <b>스마일게이트인베스트먼트</b> 등으로부터 투자를 유치했다. 학교, 유치원, 병원, 기업 등 국내외 100여 곳의 고객사를 확보해 가치를 입증했다.",https://www.sedaily.com/NewsView/29UQT4R578,https://www.sedaily.com/NewsView/29UQT4R578,2023-09-19 09:05:00,"누비랩, 푸드AI '냠냠키즈' 전국 어린이집으로 서비스 확대"
207,208,"대우증권, <b>스마일게이트인베스트먼트</b>, SBI<b>인베스트먼트</b>, 코리아에셋투자증권 등을 거치며 증권사뿐 아니라 벤처캐피탈 심사역으로 경력을 쌓아왔다. 윤 대표 선임으로 설립 초기 공동대표를 맡던 장영환, 정재섭 전... ",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202309141312462360105227,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202309141312462360105227,2023-09-19 07:52:00,"[더벨]KIB벤처스, 신임 대표 선임…펀드 결성 '속도'"
208,209,"2016년 인터베스트·코오롱<b>인베스트먼트</b>·<b>스마일게이트인베스트먼트</b> 등으로부터 상환전환우선주(RCPS) 형태로 100억원의 시리즈A 투자를 받았고, 같은 해 말 50억원 규모의 시리즈B 투자를 거쳐 2018년에는 374억원... ",https://biz.chosun.com/stock/stock_general/2023/09/19/4Y7G4GL3VZAZFPLG7NBXBNQLJM/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://biz.chosun.com/stock/stock_general/2023/09/19/4Y7G4GL3VZAZFPLG7NBXBNQLJM/?utm_source=naver&utm_medium=original&utm_campaign=biz,2023-09-19 06:01:00,"장외가치 반토막 나고, 7년 물린 VC도 있는 이 바이오기업... 드디어 상장 심..."
209,210,"심사위원으로는 <b>스마일게이트 인베스트먼트</b>의 손지원 상무와 전주시 일자리정책과 최남희 팀장 및 오렌지플래닛 동문사 대표들이 참석했다. 결선대회 결과, 패션에이블이 1위를 차지했으며, 최우수상2팀에는... ",http://www.gameshot.net/common/con_view.php?code=GA65081f599131a,http://www.gameshot.net/common/con_view.php?code=GA65081f599131a,2023-09-18 19:00:00,"오렌지플래닛 창업재단, 제5회 전주창업경진대회 성료"
210,211,"심사위원으로는 <b>스마일게이트 인베스트먼트</b>의 손지원 상무와 전주시 일자리정책과 최남희 팀장 및 오렌지플래닛 동문사 대표들이 참석했다. 결선대회 결과, 패션에이블이 1위를 차지했으며, 최우수상2팀에는... ",http://www.pressman.kr/news/articleView.html?idxno=72090,http://www.pressman.kr/news/articleView.html?idxno=72090,2023-09-18 16:26:00,"<b>스마일게이트</b> 오렌지플래닛 창업재단, 제5회 전주창업경진대회 성료"
211,212,"심사위원으로는 <b>스마일게이트 인베스트먼트</b>의 손지원 상무와 전주시 일자리정책과 최남희 팀장 및 오렌지플래닛 동문사 대표들이 참석했다. 결선대회 결과, 패션에이블이 1위를 차지했으며, 최우수상2팀에는... ",https://www.cnbnews.com/news/article.html?no=620481,https://www.cnbnews.com/news/article.html?no=620481,2023-09-18 16:04:00,"<b>스마일게이트</b> 오렌지플래닛 창업재단, 제5회 전주창업경진대회 성료"
